lvl	Key	Value
>	Teaser	You're ushered into his office off Mansion's Pyre: a cramped room with a vast desk...
>	Description	You're ushered into his office off Mansion's Pyre: a cramped room with a vast desk. He surveys you across that desk. "Ah yes. The merchant-captain of whom we hear such complicated things." [The Admiral will purchase intelligence from you.]
>	Name	The Dark-Spectacled Admiral 
>>	Name	Submit your Port Reports
>>	Description	"And what is the day-to-day like on those farther shores?" [Visit and investigate ports to gain Port Reports, and trade them in here.]
>>>	Teaser	He's hard to read, with those glasses, but he reads the summary intently...
>>>	Description	He's hard to read, with those glasses, but he reads the summary intently. "Satisfactory," he says at last. "Eminently satisfactory, actually. Good work. Take this for your trouble. The clerk will see you paid."
>>>	Name	Invisible eyes
>>	Name	Pass on Strategic Information
>>	Description	The Admiral sits up, although he steeples his fingers and pretends calm.
>>>	Teaser	"Visit a port, and we'll be interested in the Port Report...
>>>	Description	"Visit a port, and we'll be interested in the Port Report. Visit places of particular interest, and we'll be interested in the Strategic Information you gain thereby. We will pay you well, don't worry. We understand you can't be expected to act entirely for the love of the Empire." His lip curls. "What's left of it."
>>>	Name	"Information."
>>	Name	Ask what he needs
>>	Description	Discover the Admiral's desires.
>>>	Teaser	He scrutinises the chart minutely through a lens...
>>>	Description	He scrutinises the chart minutely through a lens. (He doesn't, you notice, remove the dark spectacles.) "It passes muster," he remarks. "The usual fee applies."
>>>	Name	A careful inspection
>>	Name	Submit a Revelatory Chart
>>	Description	Let's find out if it's real.
>>	Name	Return to Wolfstack Docks
>>	Description	The Admiral's room is dark and stuffy. You need zee-air.
>>>	Teaser	"I can hardly understand half of this...
>>>	Description	"I can hardly understand half of this. But it's interesting: it's interesting. If Hell stays divided, it's to all our advantage, and every little helps. You must have risked much to bring us this. Let us show our appreciation."
>>>	Name	Honest bewilderment
>>	Name	Submit Brimstone Buzzings
>>	Description	What will it mean to the Admiral?
>>>	Teaser	"Speak to our agent there, and return...
>>>	Description	"Speak to our agent there, and return. We'll see that you're rewarded." [Visit the port below and return to London. You can check the details in your Journal at any time.]
>>>	Name	"This port - "
>>	Name	Ask if there's anything in particular he needs
>>	Description	"Well, if I can be assured of your discretion - "
>>>	Teaser	He has you repeat it all twice...
>>>	Description	He has you repeat it all twice. He doesn't take notes. "It's a little beyond me," he tells you, "but I have a friend in the Palace who'll be interested. Very interested. Thank you. Your fee."
>>	Name	Speak of Moves in the Great Game
>>	Description	Whispers - 
>>>	Teaser	His expression clouds when he opens the casket and sees the honey-vials packed carefully within...
>>>	Description	His expression clouds when he opens the casket and sees the honey-vials packed carefully within. "That blackguard Raffles grows bolder by the day," he mutters. "Something must be done. But what to do about - ah. Another time. The Admiralty's thanks for bringing this filthy stuff in." 
>>	Name	Turn in your shipment of red honey
>>	Description	It is very firmly proscribed; the Admiral will probably be quite eager to hear where you came by it.
>>>	Teaser	"I'm glad you brought this to me, rather than...
>>>	Description	"I'm glad you brought this to me, rather than... you know who. Our mutual acquaintance, two streets over. We do what we can." [The Dark-Spectacled Admiral is loyal to London. Bringing intelligence to him will shift the political balance, sometimes.]
>>>	Name	Enthusiastic nods
>>	Name	Submit Vital Intelligence
>>>	Teaser	"I'm especially glad you brought this to me, rather than...
>>>	Description	"I'm especially glad you brought this to me, rather than... you know who. Our mutual acquaintance, two streets over. This should go directly to my friend at the Palace, instead." [The Dark-Spectacled Admiral is loyal to London. This has shifted the political balance.]
>>>	Name	A hissed breath
>>	Description	"What's that? Tell me, quickly!" [Vital Intelligence can be created from two pieces of Strategic Information, or earned through spy networks and some other opportunities.]
>>>	Teaser	"An unprincipled scoundrel," the Admiral snaps...
>>>	Description	"An unprincipled scoundrel," the Admiral snaps. "If you have intelligence, bring it to me. Don't go off the books."
>>>	Name	A frank scowl
>>	Name	Ask the Admiral what he thinks of the Voracious Diplomat
>>	Description	The Diplomat - a half-legendary, all-infamous figure whose connection to the Admiralty is obscure.
>>>	Teaser	"I'm glad you brought this to me...
>>>	Description	"I'm glad you brought this to me. I have a colleague, of sorts: a diplomat, so-called. I will tell you because I trust you: this 'diplomat' will pay better, but I will put the information to better use." He leans forwards. "There are powers in this world I cannot speak of. There are affairs of the Navy I am not proud of. Bring me more information like this, and we can set matters right."
>>>	Name	Enthusiastic nods
>>	Name	Submit Vital Intelligence
>>	Description	"What's that? Tell me, quickly!" [Vital Intelligence can be created from two pieces of Strategic Information, or earned through spy networks and some other opportunities.]
>>>	Teaser	"Kingeater's Castle...
>>>	Description	"Kingeater's Castle. The empty temple at the end of the world. Your father went there. No one makes the pilgrimage there if they intend to return. One way or another, no pilgrim returns home."\r\n\r\n"I have heard that they stay. I have also heard that they go on, somewhere even further. It is a regrettable place, Captain, the Kingeater's Castle; and its pilgrims do regrettable things. If you go, do not take any who are dear to you." [The Kingeater's Castle is in the far south-east of the map. Go there, if you must.]
>>>	Name	"Yes. There was a certain report."
>>	Name	'A deplorable end'
>>	Description	At the Parthenaeum Club, the Admiral dropped hints about your father, and about his 'deplorable end'. What does the Admiral know?
>>>	Teaser	The Admiral removes his spectacles, folds them, places them on the desk...
>>>	Description	The Admiral removes his spectacles, folds them, places them on the desk. Behind them, his eyes are a clear and steady blue. Does he wear the spectacles to suggest his eyes are <i>not</i> normal?\r\n\r\n"I had hoped," he says, "that I could trust you. You have repaid my trust. I wish I could reward you better than this, but the New Sequence strangles us like ivy. Thank you. You are a true patriot."
>>	Name	Sell the Memento Mori to the Royal Navy
>>	Description	"My God, yes! If it can do everything you claim, I can authorise a payment of - let's see - one thousand Echoes." Perhaps you looked a little disappointed. "And her Enduring Majesty's enduring gratitude. London needs this."
>>	Name	Assistance with subsistence?
>>	Description	Ask if the Admiralty can provide a little fuel to cover your costs. [This will take you to the Drydock, where 1 point of Favour will get you 2-3 Fuel.]
>>>	Teaser	"And we could use you elsewhere - "
>>>	Description	"And we could use you elsewhere - "
>>>	Name	"You have a good point."
>>	Name	"Please don't send me to b___dy Frostfound."
>>	Description	Appeal to the Admiral's better nature. Remind of your past services to his office. Frostfound is far away and freezing cold and in all probability no one there will cooperate.
>	Teaser	"Let us speak frankly...
>	Description	"Let us speak frankly..."
>	Name	Revealing your Past
>>	Name	"I prefer not to think about my upbringing..."
>>	Description	"...but there are enough secrets at zee."
>>	Name	"I've just been too busy..."
>>	Description	"...but I don't particularly mind talking about it."
>>	Name	"Remember me."
>>	Description	"I may never return home. Someone should know who I was."
>	Name	A Camp in the Ruins
>>	Name	Anarchists
>	Teaser	In the watches of the night, you pad softly past the hatch to the crew quarters...
>	Description	In the watches of the night, you pad softly past the hatch to the crew quarters. A man cries out softly in his sleep, desperately. Another. 
>	Name	Restless nights
>>>	Teaser	The crew is subdued as they take their meals...
>>>	Description	The crew is subdued as they take their meals. But all is quiet in the next watch.
>>>	Name	Silence at the breakfast table
>>	Name	Ignore them
>>	Description	The captain can't be seen to take these things seriously.
>>>	Teaser	"The whole Neath lit up like a Snuffer-mask! - 
>>>	Description	"The whole Neath lit up like a Snuffer-mask! There's something in the roof, Captain! It is the roof! It's watching us! Eyes and a face! Eyes and a face!"\r\n\r\nYou have him subdued. No discipline this time, but you require your First Officer to keep an eye on him.
>>>	Name	"Eyes and a face..."
>>>	Teaser	"The whole Neath lit up like a Snuffer-mask! - 
>>>	Description	"The whole Neath lit up like a Snuffer-mask! There's something in the roof, Captain! It is the roof! It's watching us! Eyes and a face! Eyes and a face!"\r\n\r\n"Yes," you say softly. You lay your hand on the zailor's burning forehead. "There are storms in the roof. Hush. We won't join them yet."
>>>	Name	"Eyes and a face..."
>>	Name	Enquire about their dreams the next morning
>>	Description	What did they see?
>	Teaser	I&M has a funger operation here, felling giant bolegus shrooms for building materials, harvesting kirralee for its 'medicinal' properties...
>	Description	I&M has a funger operation here, felling giant bolegus shrooms for building materials, harvesting kirralee for its 'medicinal' properties. It's a desperate little outpost of something like civilisation. \r\n\r\nUp puffs the Affable Factor. "Oh hello, Captain! Thank God for visitors. We'd go quite mad out here otherwise, ahahaha. Quite mad. How can we be of assistance?"
>	Name	Iron & Misery Company Funging Station
>>>	Teaser	"Yes - yes, I have it here...
>>>	Description	"Yes - yes, I have it here. The courier-ship to Mt Palmerston stopped off to resupply. Tell the Admiralty - tell them I miss my children. Tell them I can't take it here much longer. The spores, the dark."
>>>	Name	A strained smile
>>	Name	Give the pass-sign to the Affable Factor
>>>	Teaser	"Here...
>>>	Description	"Here. Little to report, but we have had Khanate privateers nosing around. And tell them that the Company grows suspicious. Mr Iron knows the Admiralty is interested in his business. Pray, my friend, that you never have to serve two masters, as I do."
>>>	Name	A strained smile
>>	Description	The Admiralty asked you to bring back Strategic Information. This is your contact.
>>>	Teaser	You sit on the verandah of the Factor's house, looking out over the fungal jungle: an expanse of green and sour gold...
>>>	Description	You sit on the verandah of the Factor's house, looking out over the fungal jungle: an expanse of green and sour gold. The air is thick with hovering spores. The scones are stale. Even the tea has a hint of mildew. But the Factor is good company: he shares odd stories about the ice and roses of Irem, the monstrosities of the Sea of Lilies, and a little restaurant in Venderbight where he enjoyed the most extraordinary sea-food. ("Venderbight! I know! I'd never met a tomb-colonist who could cook! But you must visit the place. Do you know it?")\r\n\r\nHe also has a load of bolegus-frond carted aboard your ship. He waves away your thanks. "I have eaten so much of the stuff I fear that I might be transformed entirely into fungus." He leans confidentially towards you. "It happens, you know. But one does have to eat rather a lot of it first."
>>>	Name	An interlude
>>	Name	Tea with the Factor
>>	Description	The poor fellow needs the company, and he can spare an hour away from his schedule.
>>	Name	Explore Demeaux Island
>>	Description	Close-crowded thickets of bolegus and skirralee. The Iron & Misery company fells them daily, but they grow back almost as fast. The interior of the island is dark and wild.
>>	Name	Explore Demeaux Island
>>	Description	Close-crowded thickets of bolegus and skirralee. The Iron & Misery company fells them daily, but they grow back almost as fast. The interior of the island is dark and wild.
>>	Name	Explore Demeaux Island
>>	Description	Close-crowded thickets of bolegus and skirralee. The Iron & Misery company fells them daily, but they grow back almost as fast. The interior of the island is dark and wild.
>>	Name	Explore Demeaux Island
>>	Description	Close-crowded thickets of bolegus and skirralee. The Iron & Misery company fells them daily, but they grow back almost as fast.
>>>	Teaser	You pay the release-fee to the Factor, and your new zailor settles in...
>>>	Description	You pay the release-fee to the Factor, and your new zailor settles in. Ready to zail now?
>>>	Name	Signing up
>>	Name	Accept a volunteer
>>	Description	One of Company's bolegus-fellers has negotiated an early release from her contract. "It's the sproutlings," she tells you, her face pleading. "I keep picking them out of me porridge. And me hair. And me eyes. Take me away. I'm a good worker."
>>>	Teaser	The blemmigan propels itself into a springing leap: up to a bolegus trunk, around, into the thickets...
>>>	Description	The blemmigan propels itself into a springing leap: up to a bolegus trunk, around, into the thickets. It whistles as it goes, and deeper in the fungal jungle, a whistling rises in response. There are already blemmigans here.
>>>	Name	A kind of homecoming
>>	Name	Put a blemmigan ashore
>>	Description	Though it's far from hospitable...
>>>	Teaser	Even with the bribe, the Factor is reluctant to talk - but it seems the Cannoneer knew him 'in the old days', and he's even more reluctant to have the Cannoneer talk about the old days...
>>>	Description	Even with the bribe, the Factor is reluctant to talk - but it seems the Cannoneer knew him 'in the old days', and he's even more reluctant to have the Cannoneer talk about the old days. Finally, he gives in.\r\n\r\n"It was a place called Aestival. Do you know it? It's, hm, a striking place. You wouldn't believe me if I told you. It's east. A long way east. We took it off all the maps. Not that maps last at zee anyway. That's all I know. Now - shall we let the past lie where it fell?"
>>>	Name	A shared and sordid past
>>	Name	Bargain with the Factor for a secret
>>	Description	The Irrepressible Cannoneer is convinced that the Factor knows more about a weapon - the Company's terrible prototype. You will need a bribe. It's only fair.
>>>	Teaser	You sit on the verandah of the Factor's house, looking out over the fungal jungle: an expanse of green and sour gold...
>>>	Description	You sit on the verandah of the Factor's house, looking out over the fungal jungle: an expanse of green and sour gold. The air is thick with hovering spores. The scones are stale. Even the tea has a hint of mildew. But the Factor is good company: he shares odd stories about the Gant Pole where monsters swarm, about the seductions of the Principles of Coral, the infestation at Featherhaven...\r\n\r\nHe also has a load of bolegus-frond carted aboard your ship. He waves away your thanks. "I have eaten so much of the stuff I fear that I might be transformed entirely into fungus." He leans confidentially towards you. "It happens, you know. But one does have to eat rather a lot of it first."
>>>	Name	An interlude
>>	Name	Tea with the Factor
>>	Description	The poor fellow needs the company, and he can spare an hour away from his schedule.
>>>	Teaser	Of course, I&M's activities here don't seem that interesting...
>>>	Description	Of course, I&M's activities here don't seem that interesting. Nevertheless, record what you can.
>>>	Name	The business of spores
>>	Name	Compile a Port Report
>>	Description	The Admiralty likes to keep an eye on Iron & Misery's activities.
>>>	Teaser	The Affable Factor covers his mouth as he peers into the crate...
>>>	Description	The Affable Factor covers his mouth as he peers into the crate. He turns and stumbles, sobbing, into your arms. "Meat? Oh, bless you! Please, in thanks..." He waves in two sturdy bolegus-fellers bearing a coffin. "Part of a misdelivered consignment. I'm sure you'll find some use for it. And if not - well, there are always buyers."
>>>	Name	A desperate joy
>>	Name	Provide a respite from mushrooms
>>	Description	Here, it's mushrooms for every meal. A sign on the dock, blotched by mildew, promises a reward for anyone who provides an alternative.\r\n [Trade two Strange Catches for a Sooth & Cooper Long-Box.]
>>>	Teaser	"Can't say as it was how he'd have wanted to go, but I don't think he ever intended to go at all...
>>>	Description	"Can't say as it was how he'd have wanted to go, but I don't think he ever intended to go at all." The Affable Factor sighs and lights his pipe. The fungal smoke is all too familiar.\r\n\r\n"Knew he'd meet a bad end with that lot. Too much stirring up trouble, not enough enjoying what they'd got. Seven's an unlucky number, if you ask me." He rests a hand on the coffin. "Thank you anyway. I'll do something appropriate with him."
>>>	Name	"A moth, you say?"
>>	Name	Deliver Lorenzo's remains to the Factor
>>	Description	The Affable Factor receives his brother's coffin solemnly. You counsel against looking within.
>>>	Teaser	The Tomb Colonist draws you a little way away from the Cladery Heir...
>>>	Description	The Tomb Colonist draws you a little way away from the Cladery Heir. "Don't tell her you met me," he says, in hoarse rasp. "Her mother cut my voice. Hoped to fix it so I wouldn't be able to look for my daughter. So I wouldn't want to." He wheezes. "Didn't work. Operations never... completely effective. Need to know my daughter's well. Happy. Finding enough patients. Getting enough to eat and so forth."\r\n\r\nIn exchange for the simplest news, he explains himself: "I'm her father," he says. "Ordinary engineer. Not the sort of parent she would want." [If you wish to tell the Heir about this encounter, you can do so by speaking with her.]
>>>	Name	Whispered confidences
>>	Name	A bandaged funger
>>	Description	One of the funging workers is watching your crew, and watching the Cladery Heir especially. What does he want?
>>>	Teaser	It just so happens that you bump into the Factor on his walk home...
>>>	Description	It just so happens that you bump into the Factor on his walk home. What a happy coincidence! You couldn't possibly manage this entire picnic basket by yourself. Overjoyed to have company he joins you on a bench for the next hour, merrily eating sandwiches. You take your leave once you have seen the Gallivant pass by. \r\n\r\nBack on your deck, the Gallivant laughs jovially. His rubies wink in the light. "Iron and Misery will be sending a representative to the contest in Port Cecil. There's a full itinerary for all of the events, tailored for every attendee. I have the dictator's moves mapped."
>>>	Name	A pleasant distraction
>>	Name	Stand in the right place at the right time for the Gnomic Gallivant
>>	Description	"I don't like comedians. I am a very serious man. But we agree on one thing: timing. That's why I'm breaking into the Factor's home, and why I need you to distract him until I've found a special itinerary."
>>>	Teaser	The spores lie thick on your face: they coat your tongues...
>>>	Description	The spores lie thick on your face: they coat your tongues. One crewman begins to whimper. "Oh Christ," he says. "They've reached my heart. I think I'll be harvest yet. Harvest yet!" You have to drag him back to the ship before he's calm again.
>>>	Name	A fug of dread
>>	Name	Gather supplies
>>	Description	Some of the island's fungus is good to eat. Some is poisonous, hallucinogenic or mischievous. Good luck!
